"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2022/12/20","00:00","0.596","-","0.651"
"2022/12/20","00:06","0.587","-","0.636"
"2022/12/20","00:12","0.577","-","0.622"
"2022/12/20","00:18","0.566","-","0.61"
"2022/12/20","00:24","0.555","-","0.595"
"2022/12/20","00:30","0.544","-","0.577"
"2022/12/20","00:36","0.531","-","0.555"
"2022/12/20","00:42","0.519","-","0.536"
"2022/12/20","00:48","0.506","-","0.515"
"2022/12/20","00:54","0.492","-","0.5"
"2022/12/20","01:00","0.479","-","0.483"
"2022/12/20","01:06","0.465","-","0.474"
"2022/12/20","01:12","0.451","-","0.461"
"2022/12/20","01:18","0.437","-","0.446"
"2022/12/20","01:24","0.423","-","0.425"
"2022/12/20","01:30","0.409","-","0.411"
"2022/12/20","01:36","0.395","-","0.4"
"2022/12/20","01:42","0.382","-","0.389"
"2022/12/20","01:48","0.368","-","0.376"
"2022/12/20","01:54","0.354","-","0.365"
"2022/12/20","02:00","0.34","-","0.353"
"2022/12/20","02:06","0.327","-","0.347"
"2022/12/20","02:12","0.314","-","0.332"
"2022/12/20","02:18","0.3","-","0.321"
"2022/12/20","02:24","0.287","-","0.307"
"2022/12/20","02:30","0.274","-","0.291"
"2022/12/20","02:36","0.261","-","0.283"
"2022/12/20","02:42","0.249","-","0.266"
"2022/12/20","02:48","0.236","-","0.25"
"2022/12/20","02:54","0.223","-","0.235"
"2022/12/20","03:00","0.211","-","0.223"
"2022/12/20","03:06","0.199","-","0.209"
"2022/12/20","03:12","0.187","-","0.19"
"2022/12/20","03:18","0.175","-","0.178"
"2022/12/20","03:24","0.163","-","0.165"
"2022/12/20","03:30","0.151","-","0.148"
"2022/12/20","03:36","0.14","-","0.136"
"2022/12/20","03:42","0.129","-","0.122"
"2022/12/20","03:48","0.118","-","0.109"
"2022/12/20","03:54","0.108","-","0.094"
"2022/12/20","04:00","0.098","-","0.081"
"2022/12/20","04:06","0.088","-","0.067"
"2022/12/20","04:12","0.079","-","0.053"
"2022/12/20","04:18","0.071","-","0.034"
"2022/12/20","04:24","0.064","-","0.024"
"2022/12/20","04:30","0.057","-","0.022"
"2022/12/20","04:36","0.051","-","0.017"
"2022/12/20","04:42","0.046","-","0.012"
"2022/12/20","04:48","0.042","-","0.002"
"2022/12/20","04:54","0.039","-","-0.01"
"2022/12/20","05:00","0.037","-","-0.016"
"2022/12/20","05:06","0.037","-","-0.025"
"2022/12/20","05:12","0.037","-","-0.024"
"2022/12/20","05:18","0.039","-","-0.022"
"2022/12/20","05:24","0.041","-","-0.02"
"2022/12/20","05:30","0.046","-","-0.017"
"2022/12/20","05:36","0.051","-","-0.01"
"2022/12/20","05:42","0.058","-","0.004"
"2022/12/20","05:48","0.066","-","0.014"
"2022/12/20","05:54","0.075","-","0.023"
"2022/12/20","06:00","0.086","-","0.029"
"2022/12/20","06:06","0.097","-","0.04"
"2022/12/20","06:12","0.11","-","0.046"
"2022/12/20","06:18","0.125","-","0.058"
"2022/12/20","06:24","0.14","-","0.073"
"2022/12/20","06:30","0.156","-","0.09"
"2022/12/20","06:36","0.174","-","0.109"
"2022/12/20","06:42","0.192","-","0.126"
"2022/12/20","06:48","0.211","-","0.148"
"2022/12/20","06:54","0.231","-","0.17"
"2022/12/20","07:00","0.252","-","0.191"
"2022/12/20","07:06","0.273","-","0.213"
"2022/12/20","07:12","0.295","-","0.23"
"2022/12/20","07:18","0.317","-","0.252"
"2022/12/20","07:24","0.34","-","0.272"
"2022/12/20","07:30","0.363","-","0.297"
"2022/12/20","07:36","0.386","-","0.314"
"2022/12/20","07:42","0.409","-","0.338"
"2022/12/20","07:48","0.432","-","0.36"
"2022/12/20","07:54","0.454","-","0.381"
"2022/12/20","08:00","0.477","-","0.409"
"2022/12/20","08:06","0.5","-","0.43"
"2022/12/20","08:12","0.522","-","0.454"
"2022/12/20","08:18","0.544","-","0.477"
"2022/12/20","08:24","0.565","-","0.501"
"2022/12/20","08:30","0.586","-","0.53"
"2022/12/20","08:36","0.607","-","0.551"
"2022/12/20","08:42","0.627","-","0.571"
"2022/12/20","08:48","0.646","-","0.596"
"2022/12/20","08:54","0.665","-","0.617"
"2022/12/20","09:00","0.683","-","0.639"
"2022/12/20","09:06","0.701","-","0.658"
"2022/12/20","09:12","0.718","-","0.676"
"2022/12/20","09:18","0.734","-","0.69"
"2022/12/20","09:24","0.75","-","0.706"
"2022/12/20","09:30","0.765","-","0.727"
"2022/12/20","09:36","0.78","-","0.748"
"2022/12/20","09:42","0.794","-","0.768"
"2022/12/20","09:48","0.807","-","0.784"
"2022/12/20","09:54","0.82","-","0.798"
"2022/12/20","10:00","0.832","-","0.814"
"2022/12/20","10:06","0.843","-","0.825"
"2022/12/20","10:12","0.854","-","0.834"
"2022/12/20","10:18","0.864","-","0.847"
"2022/12/20","10:24","0.873","-","0.86"
"2022/12/20","10:30","0.882","-","0.868"
"2022/12/20","10:36","0.89","-","0.874"
"2022/12/20","10:42","0.897","-","0.883"
"2022/12/20","10:48","0.903","-","0.892"
"2022/12/20","10:54","0.909","-","0.9"
"2022/12/20","11:00","0.913","-","0.902"
"2022/12/20","11:06","0.917","-","0.908"
"2022/12/20","11:12","0.919","-","0.92"
"2022/12/20","11:18","0.921","-","0.922"
"2022/12/20","11:24","0.921","-","0.929"
"2022/12/20","11:30","0.921","-","0.929"
"2022/12/20","11:36","0.919","-","0.926"
"2022/12/20","11:42","0.916","-","0.925"
"2022/12/20","11:48","0.913","-","0.92"
"2022/12/20","11:54","0.908","-","0.91"
"2022/12/20","12:00","0.902","-","0.907"
"2022/12/20","12:06","0.894","-","0.902"
"2022/12/20","12:12","0.886","-","0.897"
"2022/12/20","12:18","0.877","-","0.893"
"2022/12/20","12:24","0.866","-","0.887"
"2022/12/20","12:30","0.855","-","0.878"
"2022/12/20","12:36","0.843","-","0.865"
"2022/12/20","12:42","0.83","-","0.853"
"2022/12/20","12:48","0.816","-","0.845"
"2022/12/20","12:54","0.801","-","0.839"
"2022/12/20","13:00","0.786","-","0.827"
"2022/12/20","13:06","0.77","-","0.811"
"2022/12/20","13:12","0.753","-","0.795"
"2022/12/20","13:18","0.736","-","0.781"
"2022/12/20","13:24","0.718","-","0.762"
"2022/12/20","13:30","0.7","-","0.746"
"2022/12/20","13:36","0.682","-","0.732"
"2022/12/20","13:42","0.663","-","0.718"
"2022/12/20","13:48","0.644","-","0.695"
"2022/12/20","13:54","0.625","-","0.675"
"2022/12/20","14:00","0.606","-","0.666"
"2022/12/20","14:06","0.586","-","0.653"
"2022/12/20","14:12","0.567","-","0.634"
"2022/12/20","14:18","0.547","-","0.611"
"2022/12/20","14:24","0.527","-","0.595"
"2022/12/20","14:30","0.508","-","0.582"
"2022/12/20","14:36","0.488","-","0.563"
"2022/12/20","14:42","0.468","-","0.553"
"2022/12/20","14:48","0.448","-","0.542"
"2022/12/20","14:54","0.428","-","0.524"
"2022/12/20","15:00","0.408","-","0.505"
"2022/12/20","15:06","0.388","-","0.494"
"2022/12/20","15:12","0.368","-","0.479"
"2022/12/20","15:18","0.348","-","0.459"
"2022/12/20","15:24","0.328","-","0.448"
"2022/12/20","15:30","0.308","-","0.436"
"2022/12/20","15:36","0.288","-","0.428"
"2022/12/20","15:42","0.268","-","0.407"
"2022/12/20","15:48","0.249","-","0.389"
"2022/12/20","15:54","0.229","-","0.373"
"2022/12/20","16:00","0.21","-","0.354"
"2022/12/20","16:06","0.191","-","0.336"
"2022/12/20","16:12","0.172","-","0.311"
"2022/12/20","16:18","0.153","-","0.288"
"2022/12/20","16:24","0.135","-","0.267"
"2022/12/20","16:30","0.118","-","0.243"
"2022/12/20","16:36","0.1","-","0.225"
"2022/12/20","16:42","0.084","-","0.211"
"2022/12/20","16:48","0.068","-","0.198"
"2022/12/20","16:54","0.054","-","0.181"
"2022/12/20","17:00","0.04","-","0.167"
"2022/12/20","17:06","0.027","-","0.167"
"2022/12/20","17:12","0.014","-","0.152"
"2022/12/20","17:18","0.004","-","0.142"
"2022/12/20","17:24","-0.006","-","0.136"
"2022/12/20","17:30","-0.015","-","0.135"
"2022/12/20","17:36","-0.022","-","0.135"
"2022/12/20","17:42","-0.028","-","0.13"
"2022/12/20","17:48","-0.033","-","0.122"
"2022/12/20","17:54","-0.036","-","0.11"
"2022/12/20","18:00","-0.038","-","0.105"
"2022/12/20","18:06","-0.039","-","0.102"
"2022/12/20","18:12","-0.038","-","0.104"
"2022/12/20","18:18","-0.035","-","0.117"
"2022/12/20","18:24","-0.031","-","0.118"
"2022/12/20","18:30","-0.026","-","0.123"
"2022/12/20","18:36","-0.019","-","0.128"
"2022/12/20","18:42","-0.011","-","0.131"
"2022/12/20","18:48","-0.002","-","0.137"
"2022/12/20","18:54","0.008","-","0.155"
"2022/12/20","19:00","0.02","-","0.17"
"2022/12/20","19:06","0.033","-","0.178"
"2022/12/20","19:12","0.047","-","0.185"
"2022/12/20","19:18","0.062","-","0.189"
"2022/12/20","19:24","0.078","-","0.204"
"2022/12/20","19:30","0.094","-","0.237"
"2022/12/20","19:36","0.112","-","0.254"
"2022/12/20","19:42","0.13","-","0.272"
"2022/12/20","19:48","0.148","-","0.285"
"2022/12/20","19:54","0.167","-","0.305"
"2022/12/20","20:00","0.187","-","0.321"
"2022/12/20","20:06","0.206","-","0.342"
"2022/12/20","20:12","0.226","-","0.364"
"2022/12/20","20:18","0.246","-","0.386"
"2022/12/20","20:24","0.266","-","0.411"
"2022/12/20","20:30","0.285","-","0.435"
"2022/12/20","20:36","0.305","-","0.454"
"2022/12/20","20:42","0.324","-","0.48"
"2022/12/20","20:48","0.343","-","0.5"
"2022/12/20","20:54","0.362","-","0.525"
"2022/12/20","21:00","0.38","-","0.541"
"2022/12/20","21:06","0.398","-","0.556"
"2022/12/20","21:12","0.415","-","0.579"
"2022/12/20","21:18","0.432","-","0.595"
"2022/12/20","21:24","0.449","-","0.612"
