 name = NHC A08 URIPWMIN   
 date =       210824
 hour =          600
 lat =          419
 lon =          712
 garb =          120        1006        1006        1010        1111
 mx =           10
 rmw =           56
 rd1 =         -999        -999        -999        -999
 rd2 =         -999        -999        -999        -999
 name = NHC A08 URIPWMIN   
 date =       210824
 hour =          900
 lat =          415
 lon =          703
 garb =           96        1007        1007        1010        1434
 mx =           10
 rmw =           72
 rd1 =         -999        -999        -999        -999
 rd2 =         -999        -999        -999        -999
 name = NHC A08 URIPWMIN   
 date =       210824
 hour =         1800
 lat =          416
 lon =          679
 garb =           96        1013        1013        1010        1443
 mx =           10
 rmw =           72
 rd1 =         -999        -999        -999        -999
 rd2 =         -999        -999        -999        -999
 name = NHC A08 URIPWMIN   
 date =     21082418
 hour =         1800
 lat =          416
 lon =          679
 garb =           96        1013        1013        1010        1443
 mx =           10
 rmw =           72
 rd1 =         -999        -999        -999        -999
 rd2 =         -999        -999        -999        -999
